eventID,trackID,parentID,particle,time_ns,x_mm,y_mm,z_mm,energy_MeV,process,edep_MeV
3,16245,16243,e+,0.780048,1.95376,0.398189,82.7064,0.0576842,conv,0.734139
3,16264,16202,e+,0.764421,3.95928,-1.11238,78.9376,23.4352,conv,0.144132
3,16270,16267,e+,0.839041,-9.0794,3.585,96.4268,1.4157,conv,0.585252
3,16328,16312,e+,0.808424,0.352286,1.84511,91.2319,1.02569,conv,1.15536
3,16336,16310,e+,0.846413,-4.00223,8.82355,99.8581,2.30189,conv,1.32828
3,16349,16309,e+,0.773345,3.04498,-0.64179,81.3778,0.646055,conv,2.4538
3,16359,16306,e+,0.769738,3.27689,-0.866944,80.3532,0,conv,0.00386308
3,16405,16193,e+,0.755366,7.224,-2.64903,77.3132,4.00418,conv,3.43873
3,16424,16418,e+,0.806681,4.18699,-0.694242,92.2224,4.61792,conv,1.38963
3,16451,16442,e+,0.91129,9.91603,-8.76029,119.831,0,conv,0.0461021
3,16475,16191,e+,0.743013,7.37498,-3.13847,73.6587,15.8368,conv,0.281626
3,16503,16190,e+,0.865486,4.98062,0.0869742,110.156,1.24106,conv,0.0164978
3,16512,16188,e+,0.761957,7.4561,-2.98681,79.342,0,conv,2.40423
3,16539,16187,e+,0.737825,7.49773,-3.48049,72.1245,17.5759,conv,2.66003
3,16559,16542,e+,0.920304,-0.489669,21.6649,119.992,2.33727,conv,0.272318
3,16620,16578,e+,0.8262,12.4214,-11.6865,96.4386,0,conv,1.31291
3,16635,16186,e+,0.804295,6.43352,-2.58014,92.0049,10.5131,conv,0.750341
3,16666,16182,e+,0.740974,7.35113,-3.34587,73.0573,2.02176,conv,3.18477
3,16684,16181,e+,0.818999,6.21422,-1.86973,96.3769,14.9485,conv,1.55998
3,16719,16180,e+,0.725032,7.54566,-3.46545,68.2668,0.491384,conv,1.67617
3,16740,16179,e+,0.723004,7.58552,-3.58548,67.6829,16.9009,conv,0.751775
3,16780,16774,e+,0.742407,9.27315,-4.98438,72.6463,5.05363,conv,1.95778
3,16798,16796,e+,0.746657,9.34432,-4.92454,73.779,4.6434,conv,0.111354
3,16836,16174,e+,0.729948,7.44352,-3.66968,69.7635,9.99826,conv,0.347156
3,16852,16837,e+,0.772349,7.95001,-2.18949,82.3777,6.67916,conv,0.609361
3,16895,16173,e+,0.71387,7.78636,-3.73754,64.9554,11.3507,conv,0.0584561
3,16945,16933,e+,0.726374,7.3889,-3.22406,68.6401,16.0765,conv,1.57832
3,16968,16964,e+,0.916603,9.32083,-46.9809,104.218,1.87571,conv,0.0429391
3,16993,8342,e+,0.680737,8.57351,-3.69197,55.0544,62.9077,conv,0.558477
3,17033,17000,e+,0.700591,8.45527,-4.45558,60.9112,0.358335,conv,1.92403
3,17143,17107,e+,0.703752,7.93315,-4.09126,61.8806,4.21019,conv,0.238117
3,17161,17105,e+,0.768392,4.86068,-11.0015,79.734,0.55706,conv,2.35089
3,17171,17103,e+,0.748167,6.52258,-6.4616,74.916,29.781,conv,2.2878
3,17192,17174,e+,0.831825,-16.5494,-9.1408,82.7322,2.24189,conv,0.569739
3,17201,17173,e+,0.75425,6.60796,-7.2186,76.5691,2.64555,conv,2.58474
3,17264,17099,e+,0.704057,8.31129,-3.80954,62.0369,10.8351,conv,2.21806
3,17295,17289,e+,0.717705,4.92026,-2.96334,64.5873,5.68635,conv,0.565918
3,17322,17097,e+,0.703714,8.17643,-3.8382,61.9295,76.5021,conv,0.0128464
3,17347,17325,e+,0.715091,8.0444,-3.87724,65.3276,1.75921,conv,1.53758
3,17362,17324,e+,0.722737,7.74741,-4.12696,67.6072,34.7163,conv,0.681673
3,17446,17429,e+,0.786935,-3.54882,-4.50015,83.7128,2.96712,conv,1.76611
3,17459,17453,e+,0.79243,-4.51786,-4.61115,85.0035,0,conv,2.3327
3,17471,17428,e+,0.743706,3.42452,-3.60605,72.779,0.955785,conv,1.57505
3,17531,17093,e+,0.756122,7.03586,-4.10146,77.5979,58.7064,conv,0.503429
3,17557,17536,e+,0.782432,7.17532,-4.19254,85.4582,8.88791,conv,0.780795
3,17597,17534,e+,0.812191,8.73263,-4.8439,94.2607,2.6157,conv,3.46894
3,17644,17616,e+,0.79706,-1.34459,-0.405373,84.8254,0,conv,2.88136
3,17659,17092,e+,0.693177,8.43189,-3.71537,58.76,0.877448,conv,1.14572
3,17675,8340,e+,0.750888,7.06345,-3.73506,75.9766,1.42385,conv,1.80087
3,17700,8338,e+,0.685883,8.42683,-3.61306,56.5596,0,conv,2.09214
3,17720,17712,e+,1.70468,7.35573,-5.70601,59.326,0.872103,conv,0.274251
3,17739,17727,e+,5.18514,0.820674,-19.0819,69.8044,0,conv,1.03236
3,17753,8337,e+,0.753855,7.42136,-3.46554,76.9346,12.5771,conv,0.152372
3,17829,17789,e+,0.839584,7.68029,-0.497356,102.403,0,conv,1.51506
3,17853,8336,e+,0.669825,8.82962,-3.67357,51.7933,359.498,conv,0.101996
3,17904,17868,e+,0.744343,-1.68288,-2.809,70.9074,0,conv,0.878166
3,17912,17867,e+,0.695717,7.20465,-4.18917,59.3312,15.5275,conv,0.782344
3,17941,17914,e+,0.73766,6.05909,-7.77618,71.3167,2.89302,conv,0.111201
3,17967,17862,e+,0.694204,7.51943,-4.14206,58.9502,13.6855,conv,3.59418
3,17986,17968,e+,0.713035,10.3601,-7.16357,62.7694,0.512907,conv,0.45643
3,17997,17860,e+,0.723464,6.12079,-4.40216,67.6194,4.24075,conv,3.75848
3,18006,17998,e+,0.761289,3.31957,-3.96883,78.5988,16.0252,conv,0.506504
3,18057,17857,e+,0.674783,8.70064,-3.75116,53.2685,3.55695,conv,1.79059
3,18083,17855,e+,0.69666,8.12191,-3.72806,59.8066,126.106,conv,0.816652
3,18115,18105,e+,0.746426,5.09535,-11.7563,65.6586,2.17857,conv,0.640919
3,18141,18101,e+,0.779291,-13.0844,-14.881,64.8248,5.10124,conv,0.28116
3,18162,18099,e+,0.75851,-7.28022,-11.8859,65.5884,0,conv,1.34189
3,18178,18096,e+,0.809576,-11.5242,-21.0637,79.9734,0,conv,1.65014
3,18193,18095,e+,0.774008,-9.91086,-15.6087,67.8199,16.5909,conv,0.816701
3,18209,18197,e+,0.793065,-14.6115,-17.271,65.3911,0,conv,1.16728
3,18238,18093,e+,0.734127,-0.770995,-8.58796,64.2976,0,conv,1.78352
3,18254,18087,e+,0.770961,-9.12932,-15.4841,67.1165,3.66545,conv,3.56885
3,18284,18085,e+,0.799318,4.88317,-3.91088,90.4076,0,conv,1.20417
3,18330,18308,e+,0.721173,7.29562,-1.75748,66.8294,6.00649,conv,1.07313
